habitaciones;baños;precio;link_inmueble;metros_cuadrados;anunciante;zona;tipo_de_operacion;web;zona_metadata
3;1;11000.0;https://www.idealista.com/inmueble/105375746/;65.0;Solvia HR;Alcoi / Zona Nord (Barri Zona Nord);Venta;Idealista;"{""barrio"": ""Zona Nord"", ""extras"": [""Barri Zona Nord""], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;165000.0;https://www.idealista.com/inmueble/107896510/;140.0;Inversiones Car&Mar;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;1;17000.0;https://www.idealista.com/inmueble/99133154/;95.0;Solvia HR;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;300000.0;https://www.idealista.com/inmueble/107834018/;240.0;Particular;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;140000.0;https://www.idealista.com/inmueble/108636107/;118.0;Inmobiliaria Terra;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
2;1;23000.0;https://www.idealista.com/inmueble/96567154/;70.0;Solvia HR;Alcoi / Zona Nord (Barri Zona Nord);Venta;Idealista;"{""barrio"": ""Zona Nord"", ""extras"": [""Barri Zona Nord""], ""municipio"": ""Alcoi"", ""subzona"": null}"
1;1;9000.0;https://www.idealista.com/inmueble/96561690/;28.0;Solvia HR;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
1;1;12000.0;https://www.idealista.com/inmueble/96566503/;55.0;Solvia HR;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;175000.0;https://www.idealista.com/inmueble/107865188/;130.0;Particular;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
2;1;45600.0;https://www.idealista.com/inmueble/107973477/;75.0;Solvia Inmobiliaria NB;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
5;2;235000.0;https://www.idealista.com/inmueble/108702897/;160.0;Particular;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
1;1;34200.0;https://www.idealista.com/inmueble/99132631/;110.0;Solvia HR;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
5;2;259000.0;https://www.idealista.com/inmueble/86526548/;230.0;Particular;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
1;1;12000.0;https://www.idealista.com/inmueble/96561689/;44.0;Solvia HR;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;76000.0;https://www.idealista.com/inmueble/108689754/;76.0;Solvia HR;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
10;4;250000.0;https://www.idealista.com/inmueble/109034812/;900.0;Particular;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
1;1;30500.0;https://www.idealista.com/inmueble/99132630/;109.0;Solvia HR;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;1;69500.0;https://www.idealista.com/inmueble/108394166/;98.0;Inversiones Car&Mar;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
6;3;415000.0;https://www.idealista.com/inmueble/108593720/;351.0;INMOBILIARIA OLCINA;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;93000.0;https://www.idealista.com/inmueble/108802562/;118.0;TU CASA EN ELCHE TCE 2023;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;130000.0;https://www.idealista.com/inmueble/106904910/;136.0;Particular;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;3;240000.0;https://www.idealista.com/inmueble/106844612/;220.0;inmobiliaria aracil;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;1;99000.0;https://www.idealista.com/inmueble/102483285/;225.0;Inmobiliaria Terra;Alcoi / Centre - Zona Alta (Zona Alta);Venta;Idealista;"{""barrio"": ""Centre - Zona Alta"", ""extras"": [""Zona Alta""], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;185000.0;https://www.idealista.com/inmueble/102545563/;140.0;NEXT HOME INMOBILIARIA;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;3;999000.0;https://www.idealista.com/inmueble/106479280/;400.0;Particular;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;115000.0;https://www.idealista.com/inmueble/107316941/;90.0;inmobiliaria aracil;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;3;374500.0;https://www.idealista.com/inmueble/107743932/;182.0;Particular;Alcoi / Eixample;Venta;Idealista;"{""barrio"": ""Eixample"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
7;5;361305.0;https://www.idealista.com/inmueble/106967544/;614.0;inmobiliaria aracil;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;1;140000.0;https://www.idealista.com/inmueble/107228155/;110.0;Particular;Alcoi / Zona Nord (Barri Zona Nord);Venta;Idealista;"{""barrio"": ""Zona Nord"", ""extras"": [""Barri Zona Nord""], ""municipio"": ""Alcoi"", ""subzona"": null}"
6;2;130000.0;https://www.idealista.com/inmueble/108979120/;168.0;Inmobiliaria Hache;Alcoi / Eixample;Venta;Idealista;"{""barrio"": ""Eixample"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
0;2;25000.0;https://www.idealista.com/inmueble/108045216/;62.0;Inmobiliaria Hache;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
4;2;300000.0;https://www.idealista.com/inmueble/102851130/;170.0;inmobiliaria aracil;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
1;3;104690.0;https://www.idealista.com/inmueble/106638848/;104.0;NEXT HOME INMOBILIARIA;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;124000.0;https://www.idealista.com/inmueble/107793838/;108.0;Inmobiliaria Terra;Alcoi;Venta;Idealista;"{""barrio"": null, ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
1;1;143750.0;https://www.idealista.com/inmueble/106328582/;150.0;Aliseda inmobiliaria;Alcoi / Eixample;Venta;Idealista;"{""barrio"": ""Eixample"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
3;2;93000.0;https://www.idealista.com/inmueble/108651592/;118.0;Inmobiliaria Terra;Alcoi / Santa Rosa;Venta;Idealista;"{""barrio"": ""Santa Rosa"", ""extras"": [], ""municipio"": ""Alcoi"", ""subzona"": null}"
