id_inmueble,link_inmueble,titulo,localizacion,precio,metros_cuadrados,habitaciones,baños,zona,tipo_de_operacion,fecha_inclusion,lat,lon,municipio,precio_bajada,consumo_energia,emisiones_energia,descripcion,breadcrumb,fotos_total,ref_catastral,edificabilidad_m2techo,parcela_m2,parcela_min_m2,fachada_min_m,altura_max_m,sector_urbanistico,link_inmueble_siguiente,anunciante
https://www.picoblanes.com/oficina-en-alcoy-santa-rosa-con-ascensor-es827995.html,https://www.picoblanes.com/oficina-en-alcoy-santa-rosa-con-ascensor-es827995.html,OFI0013,"SANTA ROSA, Alcoy, Alicante",300.0,90.0,,,SANTA ROSA,Alquiler,2025-08-24,38.69764434838,-0.48554447370532,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1111761.html,https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1111761.html,LOC0187,"ENSANCHE, Alcoy, Alicante",80000.0,130.0,,,ENSANCHE,Venta,2025-08-24,38.699304221997,-0.47969722635997,,,,,,,,,,,,,,,,
https://www.picoblanes.com/nave-en-alcoy-viaducto-es1334712.html,https://www.picoblanes.com/nave-en-alcoy-viaducto-es1334712.html,NAV0050,"VIADUCTO, Alcoy, Alicante",175000.0,751.0,,,VIADUCTO,Venta,2025-08-24,38.697074200262,-0.46791425955141,,,,,,,,,,,,,,,,
https://www.picoblanes.com/casa-de-pueblo-en-benilloba-pueblos-de-la-montantildea-con-vistas-es1047132.html,https://www.picoblanes.com/casa-de-pueblo-en-benilloba-pueblos-de-la-montantildea-con-vistas-es1047132.html,PUE0013,"PUEBLOS DE LA MONTAÑA, Benilloba, Alicante",70000.0,288.0,5.0,2.0,PUEBLOS DE LA MONTAÑA,Venta,2025-08-24,38.699840104236,-0.38860960629479,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-el-cami-es932120.html,https://www.picoblanes.com/local-comercial-en-alcoy-el-cami-es932120.html,LOC0114,"EL CAMI, Alcoy, Alicante",88000.0,196.0,,,EL CAMI,Venta,2025-08-24,38.690084744161,-0.47763732945264,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-centro-es1566315.html,https://www.picoblanes.com/local-comercial-en-alcoy-centro-es1566315.html,LOC0252,"CENTRO, Alcoy, Alicante",1000.0,160.0,,,CENTRO,Alquiler,2025-08-24,38.696397226377,-0.47541688457741,,,,,,,,,,,,,,,,
https://www.picoblanes.com/casa-adosada-en-cocentaina-cocentaina-con-garaje-es1610650.html,https://www.picoblanes.com/casa-adosada-en-cocentaina-cocentaina-con-garaje-es1610650.html,ADO0050,"COCENTAINA, Cocentaina, Alicante",185000.0,140.0,4.0,2.0,COCENTAINA,Venta,2025-08-24,38.741397073193,-0.43465764313671,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1572886.html,https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1572886.html,LOC0253,"ENSANCHE, Alcoy, Alicante",70000.0,125.0,,,ENSANCHE,Venta,2025-08-24,38.699494319354,-0.48113723443453,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-centro-es1273095.html,https://www.picoblanes.com/local-comercial-en-alcoy-centro-es1273095.html,LOC0222,"CENTRO, Alcoy, Alicante",85000.0,164.0,,,CENTRO,Venta,2025-08-24,38.69673216686,-0.47422592065673,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-santa-rosa-es1082623.html,https://www.picoblanes.com/local-comercial-en-alcoy-santa-rosa-es1082623.html,LOC0177,"SANTA ROSA, Alcoy, Alicante",500.0,120.0,,,SANTA ROSA,Alquiler,2025-08-24,38.697812535484,-0.4850988686811,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1000794.html,https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1000794.html,LOC0154,"ENSANCHE, Alcoy, Alicante",750.0,150.0,,,ENSANCHE,Alquiler,2025-08-24,38.704024845311,-0.47607075300028,,,,,,,,,,,,,,,,
https://www.picoblanes.com/parcela-en-cocentaina-gormaig-es1186467.html,https://www.picoblanes.com/parcela-en-cocentaina-gormaig-es1186467.html,PAR0015,"GORMAIG, Cocentaina, Alicante",100000.0,1439.0,,,GORMAIG,Venta,2025-08-24,38.721024438888,-0.46460671669011,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-el-cami-con-ascensor-es1362744.html,https://www.picoblanes.com/piso-en-alcoy-el-cami-con-ascensor-es1362744.html,PIS0782,"EL CAMI, Alcoy, Alicante",145000.0,120.0,3.0,2.0,EL CAMI,Venta,2025-08-24,38.691758721037,-0.47586438667507,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-centro-con-vistas-es1574647.html,https://www.picoblanes.com/piso-en-alcoy-centro-con-vistas-es1574647.html,PIS0853,"CENTRO, Alcoy, Alicante",600.0,70.0,2.0,1.0,CENTRO,Alquiler,2025-08-24,38.693433283691,-0.4732260296677,,,,,,,,,,,,,,,,
https://www.picoblanes.com/oficina-en-alcoy-norte-con-ascensor-es849800.html,https://www.picoblanes.com/oficina-en-alcoy-norte-con-ascensor-es849800.html,OFI0015,"NORTE, Alcoy, Alicante",80000.0,60.0,,,NORTE,Venta,2025-08-24,38.704905144353,-0.4741503943475,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-centro-con-vistas-es1334738.html,https://www.picoblanes.com/piso-en-alcoy-centro-con-vistas-es1334738.html,PIS0767,"CENTRO, Alcoy, Alicante",45000.0,90.0,3.0,1.0,CENTRO,Venta,2025-08-24,38.693766610076,-0.47316069895151,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-norte-con-ascensor-es1548692.html,https://www.picoblanes.com/piso-en-alcoy-norte-con-ascensor-es1548692.html,PIS0828,"NORTE, Alcoy, Alicante",170000.0,122.0,3.0,2.0,NORTE,Venta,2025-08-24,38.708192745632,-0.47249996426896,,,,,,,,,,,,,,,,
https://www.picoblanes.com/casa-chalet-en-muro-de-alcoy-muro-con-piscina-es1550181.html,https://www.picoblanes.com/casa-chalet-en-muro-de-alcoy-muro-con-piscina-es1550181.html,CHA0132,"MURO, Muro de Alcoy, Alicante",350000.0,300.0,6.0,3.0,MURO,Venta,2025-08-24,38.780436541768,-0.43977205343154,,,,,,,,,,,,,,,,
https://www.picoblanes.com/casa-chalet-en-cocentaina-cocentaina-con-piscina-es795894.html,https://www.picoblanes.com/casa-chalet-en-cocentaina-cocentaina-con-piscina-es795894.html,CHA0002,"COCENTAINA, Cocentaina, Alicante",340000.0,230.0,5.0,2.0,COCENTAINA,Venta,2025-08-24,38.733464567286,-0.44500323889757,,,,,,,,,,,,,,,,
https://www.picoblanes.com/casa-adosada-en-benimarfull-pueblos-de-la-montantildea-con-vistas-es1153805.html,https://www.picoblanes.com/casa-adosada-en-benimarfull-pueblos-de-la-montantildea-con-vistas-es1153805.html,ADO0039,"PUEBLOS DE LA MONTAÑA, Benimarfull, Alicante",325000.0,315.0,5.0,3.0,PUEBLOS DE LA MONTAÑA,Venta,2025-08-24,38.774018121763,-0.39223583621347,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1557699.html,https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es1557699.html,LOC0250,"ENSANCHE, Alcoy, Alicante",3000.0,800.0,,,ENSANCHE,Alquiler,2025-08-24,38.703848025449,-0.47534106498435,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-centro-es1047088.html,https://www.picoblanes.com/local-comercial-en-alcoy-centro-es1047088.html,LOC0163,"CENTRO, Alcoy, Alicante",60000.0,110.0,,,CENTRO,Venta,2025-08-24,38.696158776581,-0.47514291092139,,,,,,,,,,,,,,,,
https://www.picoblanes.com/casa-chalet-en-alcoy-ensanche-con-piscina-es1623079.html,https://www.picoblanes.com/casa-chalet-en-alcoy-ensanche-con-piscina-es1623079.html,CHA0144,"ENSANCHE, Alcoy, Alicante",350000.0,300.0,7.0,3.0,ENSANCHE,Venta,2025-08-24,38.700996633274,-0.48066396114529,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es961247.html,https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es961247.html,LOC0131,"ENSANCHE, Alcoy, Alicante",110000.0,337.0,,,ENSANCHE,Venta,2025-08-24,38.702812503122,-0.47941850639588,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es989276.html,https://www.picoblanes.com/local-comercial-en-alcoy-ensanche-es989276.html,LOC0144,"ENSANCHE, Alcoy, Alicante",70000.0,260.0,,,ENSANCHE,Venta,2025-08-24,38.702822795479,-0.48112958641068,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-centro-con-ascensor-es1511047.html,https://www.picoblanes.com/piso-en-alcoy-centro-con-ascensor-es1511047.html,PIS0815,"CENTRO, Alcoy, Alicante",185000.0,125.0,3.0,2.0,CENTRO,Venta,2025-08-24,38.696553968507,-0.47765592348643,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-centro-es1298942.html,https://www.picoblanes.com/piso-en-alcoy-centro-es1298942.html,PIS0744,"CENTRO, Alcoy, Alicante",79000.0,142.0,5.0,1.0,CENTRO,Venta,2025-08-24,38.696275286717,-0.4738552625502,,,,,,,,,,,,,,,,
https://www.picoblanes.com/casa-adosada-en-alcoy-ensanche-con-piscina-es1495088.html,https://www.picoblanes.com/casa-adosada-en-alcoy-ensanche-con-piscina-es1495088.html,ADO0047,"ENSANCHE, Alcoy, Alicante",375000.0,251.0,3.0,2.0,ENSANCHE,Venta,2025-08-24,38.7019646378,-0.48455120211135,,,,,,,,,,,,,,,,
https://www.picoblanes.com/nave-en-alcoy-beniata-es1277066.html,https://www.picoblanes.com/nave-en-alcoy-beniata-es1277066.html,NAV0048,"BENIATA, Alcoy, Alicante",1000.0,413.0,,,BENIATA,Alquiler,2025-08-24,38.684896695406,-0.48865624228513,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-batoy-es824775.html,https://www.picoblanes.com/local-comercial-en-alcoy-batoy-es824775.html,LOC0041,"BATOY, Alcoy, Alicante",350.0,120.0,,,BATOY,Alquiler,2025-08-24,38.689035989925,-0.49318336140201,,,,,,,,,,,,,,,,
https://www.picoblanes.com/local-comercial-en-alcoy-santa-rosa-es775367.html,https://www.picoblanes.com/local-comercial-en-alcoy-santa-rosa-es775367.html,LOC0008,"SANTA ROSA, Alcoy, Alicante",500.0,170.0,,,SANTA ROSA,Alquiler,2025-08-24,38.697418266609,-0.4843638263454,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-ensanche-con-vistas-es1600592.html,https://www.picoblanes.com/piso-en-alcoy-ensanche-con-vistas-es1600592.html,PIS0861,"ENSANCHE, Alcoy, Alicante",72000.0,90.0,3.0,2.0,ENSANCHE,Venta,2025-08-24,38.704559697921,-0.4753357381928,,,,,,,,,,,,,,,,
https://www.picoblanes.com/atico-en-alcoy-ensanche-con-ascensor-es1085734.html,https://www.picoblanes.com/atico-en-alcoy-ensanche-con-ascensor-es1085734.html,ATC0041,"ENSANCHE, Alcoy, Alicante",140000.0,95.0,2.0,1.0,ENSANCHE,Venta,2025-08-24,38.700844872611,-0.47848490750135,,,,,,,,,,,,,,,,
https://www.picoblanes.com/piso-en-alcoy-el-cami-es1319652.html,https://www.picoblanes.com/piso-en-alcoy-el-cami-es1319652.html,PIS0759,"EL CAMI, Alcoy, Alicante",120000.0,100.0,3.0,1.0,EL CAMI,Venta,2025-08-24,38.692352376529,-0.4771303893301,,,,,,,,,,,,,,,,
