id_inmueble,titulo,localizacion,precio,metros_cuadrados,m2_construidos,m2_utiles,habitaciones,baños,terraza,estado,planta,exterior,ascensor,anunciante,anunciante_link,link_inmueble,fecha_inclusion
108119446,Casa o chalet independiente en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,249000,354,354,,2,1,True,Segunda mano/buen estado,,,,Abenza inmuebles,https://www.idealista.com/pro/abenza-inmuebles/,https://www.idealista.com/inmueble/108119446/,2025-09-23
108975703,Piso en venta en Centro - Zona Alta,Alcoy / Alcoi,158500,105,105,100,3,1,True,Segunda mano/buen estado,Planta 1ª exterior,True,False,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/108975703/,2025-09-23
109309984,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,82000,90,90,72,3,1,True,Segunda mano/buen estado,Planta 1ª exterior,True,True,Inmobiliaria Numero Uno,https://www.idealista.com/pro/numero-uno/,https://www.idealista.com/inmueble/109309984/,2025-09-23
109157231,Piso en venta en Calle Sant Jaume,Centro - Zona Alta,54900,40,40,,2,1,,Segunda mano/buen estado,Planta 3ª exterior,True,False,Espana Online Inmo SL,https://www.idealista.com/pro/espana-online-inmo/,https://www.idealista.com/inmueble/109157231/,2025-09-23
109101525,"Piso en venta en Calle Francesc Perera, 7",Barri Eixample,100000,90,90,88,2,1,,Segunda mano/buen estado,Bajo exterior,True,False,,,https://www.idealista.com/inmueble/109101525/,2025-09-23
108689535,Casa o chalet en venta en Carretera Molinar,Centro - Zona Alta,76000,76,76,,3,2,,Segunda mano/buen estado,,,,Solvia SE,https://www.idealista.com/pro/solvia-se/,https://www.idealista.com/inmueble/108689535/,2025-09-23
109305367,Piso en venta en Calle Oliver,Barri Santa Rosa,94200,125,125,,,1,,Segunda mano/buen estado,Planta 4ª,,False,Solvia Inmobiliaria IB,https://www.idealista.com/pro/solvia/,https://www.idealista.com/inmueble/109305367/,2025-09-23
109198703,Piso en venta en Barri Eixample,Alcoy / Alcoi,123000,90,90,,2,1,,Segunda mano/buen estado,Bajo exterior,True,False,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/109198703/,2025-09-23
109225678,Chalet adosado en venta en Centro - Zona Alta,Alcoy / Alcoi,150000,475,475,,0,,,Segunda mano/para reformar,,,,Oportunidad inversión,https://www.idealista.com/pro/oportunidad-inversion/,https://www.idealista.com/inmueble/109225678/,2025-09-23
109340213,"Piso en venta en Avenida Andalusia, 8",Barri Zona Nord,80000,76,76,74,3,1,True,Segunda mano/buen estado,Bajo exterior,True,False,,,https://www.idealista.com/inmueble/109340213/,2025-09-23
106915943,Piso en venta en Calle la Sardina,Centro - Zona Alta,34200,110,110,,,1,,Segunda mano/buen estado,,,False,Solvia SE,https://www.idealista.com/pro/solvia-se/,https://www.idealista.com/inmueble/106915943/,2025-09-23
106915942,Piso en venta en Calle Sant Joan,Centro - Zona Alta,30500,109,109,,,1,,Segunda mano/buen estado,,,False,Solvia SE,https://www.idealista.com/pro/solvia-se/,https://www.idealista.com/inmueble/106915942/,2025-09-23
104890873,Piso en venta en Carretera Nacional N-340,Barri Eixample,37400,91,91,,3,1,,Segunda mano/buen estado,,,False,Solvia SE,https://www.idealista.com/pro/solvia-se/,https://www.idealista.com/inmueble/104890873/,2025-09-23
109228290,Chalet adosado en venta en Barri Eixample,Alcoy / Alcoi,560000,300,300,250,4,4,True,Segunda mano/buen estado,,,,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/109228290/,2025-09-23
109162788,Piso en venta en Barri Zona Nord,Alcoy / Alcoi,187000,165,165,160,4,2,,Segunda mano/buen estado,Planta 1ª exterior,True,True,Inmobiliaria Numero Uno,https://www.idealista.com/pro/numero-uno/,https://www.idealista.com/inmueble/109162788/,2025-09-23
109326482,Piso en venta en Barri Eixample,Alcoy / Alcoi,90000,70,70,,3,1,,Segunda mano/buen estado,Planta 2ª exterior,True,False,Abenza inmuebles,https://www.idealista.com/pro/abenza-inmuebles/,https://www.idealista.com/inmueble/109326482/,2025-09-23
107491987,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,150000,110,110,100,3,2,,Segunda mano/buen estado,Planta 5ª exterior,True,True,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/107491987/,2025-09-23
107820485,Piso en venta en Centro - Zona Alta,Alcoy / Alcoi,80000,92,92,90,2,1,,Segunda mano/buen estado,Planta 4ª exterior,True,False,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/107820485/,2025-09-23
109274083,"Piso en venta en Calle Alfons el Magnànim, 5",Barri Santa Rosa,123000,125,125,,3,1,True,Segunda mano/buen estado,Planta 2ª exterior,True,True,,,https://www.idealista.com/inmueble/109274083/,2025-09-23
109226614,"Caserón en venta en Calle El salt, 23",Barri Eixample,85000,360,360,320,2,1,,Segunda mano/para reformar,,,,,,https://www.idealista.com/inmueble/109226614/,2025-09-23
108440349,Piso en venta en Centro - Zona Alta,Alcoy / Alcoi,98900,70,70,65,2,1,,Segunda mano/buen estado,Planta 3ª exterior,True,True,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/108440349/,2025-09-23
109209910,Ático en venta en Barri Eixample,Alcoy / Alcoi,245000,140,140,,3,2,True,Segunda mano/buen estado,Planta 4ª exterior,True,True,,,https://www.idealista.com/inmueble/109209910/,2025-09-23
109310476,"Piso en venta en Calle Vistabella, 12",Barri Santa Rosa,145000,145,145,130,3,1,,Segunda mano/buen estado,Planta 7ª exterior,True,True,,,https://www.idealista.com/inmueble/109310476/,2025-09-23
109363341,"Alquiler de piso en Calle José Zorrilla, 25",Centro - Zona Alta,800,144,144,,4,2,,Segunda mano/buen estado,Planta 3ª exterior,True,True,,,https://www.idealista.com/inmueble/109363341/,2025-09-23
109360741,Alquiler de ático en Calle Lluís Braille,Barri Santa Rosa,520,70,70,,2,1,True,Segunda mano/buen estado,Planta 7ª exterior,True,True,Altages Inmobiliaria,https://www.idealista.com/pro/altages-inmobiliaria/,https://www.idealista.com/inmueble/109360741/,2025-09-23
109355473,"Alquiler de piso en Calle Sant Francesc, 18",Centro - Zona Alta,660,139,139,,3,2,True,Segunda mano/buen estado,Planta 1ª exterior,True,False,,,https://www.idealista.com/inmueble/109355473/,2025-09-23
109351770,"Alquiler de piso en Plaza Miguel Hernández, 6",Barri Santa Rosa,700,120,120,110,3,2,,Segunda mano/buen estado,Planta 3ª exterior,True,True,,,https://www.idealista.com/inmueble/109351770/,2025-09-23
107933024,"Alquiler de piso en Calle Sant Josep, 1",Centro - Zona Alta,500,45,45,40,,1,,Segunda mano/buen estado,Planta 1ª exterior,True,False,,,https://www.idealista.com/inmueble/107933024/,2025-09-23
109347731,Alquiler de piso en Barri Eixample,Alcoy / Alcoi,520,85,85,,3,1,,Segunda mano/buen estado,Planta 2ª exterior,True,False,,,https://www.idealista.com/inmueble/109347731/,2025-09-23
109340060,"Alquiler de piso en Calle Músic Josep Carbonell, 18",Centro - Zona Alta,450,110,110,,4,2,,Segunda mano/para reformar,Planta 5ª exterior,True,True,,,https://www.idealista.com/inmueble/109340060/,2025-09-23
109334229,Alquiler de piso en Av Pais Valencia,Centro - Zona Alta,950,161,161,140,3,2,,Segunda mano/buen estado,Planta 3ª exterior,True,True,Wolo,https://www.idealista.com/pro/wolo/,https://www.idealista.com/inmueble/109334229/,2025-09-23
105446070,Alquiler de piso en Barri Santa Rosa,Alcoy / Alcoi,750,125,125,120,4,2,,Segunda mano/buen estado,Planta 2ª exterior,True,True,,,https://www.idealista.com/inmueble/105446070/,2025-09-23
109183605,"Alquiler de piso en Viaducto, 25",Barri Eixample,850,180,180,165,4,2,True,Segunda mano/buen estado,Planta 2ª exterior,True,False,,,https://www.idealista.com/inmueble/109183605/,2025-09-23
109270170,Alquiler de piso en Calle la Sang,Centro - Zona Alta,500,58,58,,,1,,Segunda mano/buen estado,Bajo exterior,True,False,VHogares,https://www.idealista.com/pro/vhogares/,https://www.idealista.com/inmueble/109270170/,2025-09-23
109126973,"Alquiler de piso en Calle Sant Agustí, 3",Centro - Zona Alta,675,70,70,65,2,1,True,Segunda mano/buen estado,Bajo exterior,True,False,Avanhouse,https://www.idealista.com/pro/avanhouse/,https://www.idealista.com/inmueble/109126973/,2025-09-23
109247084,"Alquiler de piso en Calle Enginyer Colomina Raduán, 12",Barri Zona Nord,600,86,86,69,3,1,,Segunda mano/buen estado,Planta 3ª exterior,True,True,,,https://www.idealista.com/inmueble/109247084/,2025-09-23
109326189,"Alquiler de piso en Passatge Interior La Portalà, 3",Barri Santa Rosa,700,110,110,,3,2,True,Segunda mano/buen estado,Planta 4ª exterior,True,True,Inmobiliaria Blau,https://www.idealista.com/pro/inmobiliariablau/,https://www.idealista.com/inmueble/109326189/,2025-09-23
109298593,Alquiler de piso en Calle Sant Josep,Centro - Zona Alta,550,62,62,,2,1,,Segunda mano/buen estado,Planta 1ª exterior,True,False,Nexia Rent,https://www.idealista.com/pro/nexia-rent/,https://www.idealista.com/inmueble/109298593/,2025-09-23
109117798,"Alquiler de ático en Avenida País Valencià, 64",Centro - Zona Alta,700,45,45,40,0,1,,Segunda mano/buen estado,Planta 3ª exterior,True,True,,,https://www.idealista.com/inmueble/109117798/,2025-09-23
109199073,Alquiler de piso en Calle Sant Eloi,Barri Zona Nord,590,94,94,,3,1,,Segunda mano/buen estado,Planta 2ª exterior,True,False,INVERNOMICS REAL ESTATE,https://www.idealista.com/pro/invernomics-real-estate/,https://www.idealista.com/inmueble/109199073/,2025-09-23
108396916,Alquiler de casa o chalet independiente en Centro - Zona Alta,Alcoy / Alcoi,1800,205,205,,4,3,True,Segunda mano/buen estado,,,,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/108396916/,2025-09-23
108319704,"Alquiler de piso en Calle Santa Rita, 19",Centro - Zona Alta,500,45,45,,,1,,Segunda mano/buen estado,Planta 5ª interior,False,False,,,https://www.idealista.com/inmueble/108319704/,2025-09-23
