id_inmueble,titulo,localizacion,precio,metros_cuadrados,habitaciones,baños,anunciante,anunciante_link,link_inmueble,m2_construidos,m2_utiles,terraza,estado,planta,exterior,ascensor,fecha_inclusion
101279040,Piso en venta en Calle Escultor Peresejo,Barri Eixample,100000.0,109.0,3.0,2.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/101279040/,,,,,,,,2025-08-23
108022047,Casa o chalet independiente en venta en Barri Eixample,Alcoy / Alcoi,723759.0,837.0,10.0,5.0,TEAM CONCORDE,https://www.idealista.com/pro/team-concorde/,https://www.idealista.com/inmueble/108022047/,,,,,,,,2025-08-23
108364311,Piso en venta en Barri Eixample,Alcoy / Alcoi,195000.0,202.0,6.0,2.0,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/108364311/,,,,,,,,2025-08-23
108393054,Piso en venta en Centro - Zona Alta,Alcoy / Alcoi,73000.0,60.0,2.0,1.0,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/108393054/,,,,,,,,2025-08-23
107702956,Casa o chalet independiente en venta en Barri Batoi - Sargento - Baradello,Alcoy / Alcoi,380000.0,258.0,6.0,3.0,Avangard Mediterranean Properties,https://www.idealista.com/pro/avangard-mediterranean-properties/,https://www.idealista.com/inmueble/107702956/,,,,,,,,2025-08-23
107632759,Piso en venta en Calle el Camí,Centro - Zona Alta,165000.0,141.0,3.0,2.0,HogarAbitat,https://www.idealista.com/pro/hogarabitat/,https://www.idealista.com/inmueble/107632759/,,,,,,,,2025-08-23
108086235,"Casa o chalet independiente en venta en Via Sense Nom, 52",Centro - Zona Alta,590000.0,241.0,5.0,2.0,Mar & Golf Unique Homes,https://www.idealista.com/pro/mar-golf/,https://www.idealista.com/inmueble/108086235/,,,,,,,,2025-08-23
104597928,Casa o chalet independiente en venta en Alcoy,Centro - Zona Alta,1590.0,1500.0,11.0,11.0,Found Valencia Real Estate,https://www.idealista.com/pro/foundvalencia/,https://www.idealista.com/inmueble/104597928/,,,,,,,,2025-08-23
108722427,Piso en venta en Calle Sant Miquel,Centro - Zona Alta,65400.0,60.0,2.0,1.0,newproinmo,https://www.idealista.com/pro/newproinmo/,https://www.idealista.com/inmueble/108722427/,,,,,,,,2025-08-23
106551637,"Casa o chalet independiente en venta en Urbanització l'Estepar, 66",Centro - Zona Alta,567000.0,430.0,7.0,5.0,Remax Blue,https://www.idealista.com/pro/remax-blue/,https://www.idealista.com/inmueble/106551637/,,,,,,,,2025-08-23
103711112,"Casa o chalet independiente en venta en Carretera de Cádiz, 16",Centro - Zona Alta,1450.0,1426.0,8.0,5.0,Mar de Casas,https://www.idealista.com/pro/mardecasas/,https://www.idealista.com/inmueble/103711112/,,,,,,,,2025-08-23
100933633,Masía en venta en Jardines de Brutinel s/n,Barri Batoi - Sargento - Baradello,3500.0,10140.0,20.0,10.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/100933633/,,,,,,,,2025-08-23
108745744,"Chalet adosado en venta en CL Cavall Bernat, 1",Barri Zona Nord,230000.0,140.0,3.0,2.0,inmobanyeres,https://www.idealista.com/pro/inmobanyeres/,https://www.idealista.com/inmueble/108745744/,,,,,,,,2025-08-23
107893855,Casa o chalet independiente en venta en Urbanización El Sargento s/n,Barri Batoi - Sargento - Baradello,229000.0,354.0,5.0,1.0,GESTOR DE PROPIEDADES ANDREAS,https://www.idealista.com/pro/gestor-de-propiedades-andreas/,https://www.idealista.com/inmueble/107893855/,,,,,,,,2025-08-23
108919420,Piso en venta en Calle Juan Gil Albert,Barri Zona Nord,155000.0,159.0,4.0,2.0,OLCINA INMOBILIARIA,https://www.idealista.com/pro/olcinainmobiliaria/,https://www.idealista.com/inmueble/108919420/,,,,,,,,2025-08-23
108770606,Finca rústica en venta en Centro - Zona Alta,Alcoy / Alcoi,490000.0,469.0,5.0,3.0,Clementina Alarcon,https://www.idealista.com/pro/262405711631180447-260428184/,https://www.idealista.com/inmueble/108770606/,,,,,,,,2025-08-23
107894091,Piso en venta en Santa Rosa s/n,Barri Santa Rosa,150000.0,100.0,3.0,2.0,GESTOR DE PROPIEDADES ANDREAS,https://www.idealista.com/pro/gestor-de-propiedades-andreas/,https://www.idealista.com/inmueble/107894091/,,,,,,,,2025-08-23
108595373,Piso en venta en Plaza Ramón y Cajal,Centro - Zona Alta,75500.0,56.0,3.0,1.0,Soñar Home Consulting,https://www.idealista.com/pro/sonarhomeconsulting/,https://www.idealista.com/inmueble/108595373/,,,,,,,,2025-08-23
108696796,Piso en venta en Calle Cronista Jordán,Barri Santa Rosa,125000.0,108.0,4.0,2.0,FLIP & GO,https://www.idealista.com/pro/flipgo/,https://www.idealista.com/inmueble/108696796/,,,,,,,,2025-08-23
108902456,Piso en venta en Calle Músic Gonçal Blanes,Centro - Zona Alta,116000.0,112.0,4.0,2.0,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/108902456/,,,,,,,,2025-08-23
108912527,Piso en venta en Calle Sant Jordi,Centro - Zona Alta,185000.0,130.0,3.0,2.0,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/108912527/,,,,,,,,2025-08-23
107860625,Casa o chalet independiente en venta en L'Estepar,Centro - Zona Alta,690000.0,4303.0,13.0,4.0,Mocadi Real Estate Calpe,https://www.idealista.com/pro/mocadi-real-estate-calpe/,https://www.idealista.com/inmueble/107860625/,,,,,,,,2025-08-23
106850155,"Casa o chalet independiente en venta en Partida Mariola, 92",Barri Batoi - Sargento - Baradello,249000.0,354.0,5.0,1.0,Altages Inmobiliaria,https://www.idealista.com/pro/altages-inmobiliaria/,https://www.idealista.com/inmueble/106850155/,,,,,,,,2025-08-23
89822636,Masía en venta en Partida Mariola s/n,Barri Zona Nord,550000.0,1339.0,10.0,3.0,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/89822636/,,,,,,,,2025-08-23
